date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Mar%202023%2021:15:21%20GMT	https://legalfx.net/robots.txt		(from )
22:15:22	32102/32102	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:21%20GMT	https://legalfx.net/	C:/My%20Web%20Sites/new%20web/legalfx.net/index.html	(from )
22:15:22	1689/1689	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/favicon.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/favicon.png	(from https://legalfx.net/)
22:15:23	47920/47920	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/css/style-new.css	C:/My%20Web%20Sites/new%20web/legalfx.net/css/style-new.css	(from https://legalfx.net/)
22:15:25	70824/70824	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/css/animate.css	C:/My%20Web%20Sites/new%20web/legalfx.net/css/animate.css	(from https://legalfx.net/)
22:15:25	37442/37442	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/font-awesome-4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/new%20web/legalfx.net/font-awesome-4.7.0/css/font-awesome.css	(from https://legalfx.net/)
22:15:26	31024/31024	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/new%20web/legalfx.net/font-awesome-4.7.0/css/font-awesome.min.css	(from https://legalfx.net/)
22:15:26	95957/95957	---M--	200	added ('OK')	application/javascript	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/js/jquery-1.11.3.min.js	C:/My%20Web%20Sites/new%20web/legalfx.net/js/jquery-1.11.3.min.js	(from https://legalfx.net/)
22:15:27	15547/15547	---M--	200	added ('OK')	application/javascript	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/js/wow.js	C:/My%20Web%20Sites/new%20web/legalfx.net/js/wow.js	(from https://legalfx.net/)
22:15:28	1682/1682	---M--	200	added ('OK')	application/javascript	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/js/calculator.js	C:/My%20Web%20Sites/new%20web/legalfx.net/js/calculator.js	(from https://legalfx.net/)
22:15:29	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Fri,%2010%20Mar%202023%2021:15:30%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/new%20web/translate.google.com/translate_a/element.9a0d8.delayed	(from https://legalfx.net/)
22:15:29	50042/50042	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/logo.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/logo.png	(from https://legalfx.net/)
22:15:31	10957/10957	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:31%20GMT	https://legalfx.net/?a=cust&page=about-us	C:/My%20Web%20Sites/new%20web/legalfx.net/index7b87.html	(from https://legalfx.net/)
22:15:31	8470/8470	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:31%20GMT	https://legalfx.net/?a=news	C:/My%20Web%20Sites/new%20web/legalfx.net/index56ca.html	(from https://legalfx.net/)
22:15:31	79288/79288	---MC-	200	added ('OK')	text/javascript	date:Fri,%2010%20Mar%202023%2021:15:31%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/new%20web/translate.google.com/translate_a/elementa0d8.js	(from https://legalfx.net/)
22:15:31	32102/32102	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:30%20GMT	https://legalfx.net/?a=home	C:/My%20Web%20Sites/new%20web/legalfx.net/indexbc14.html	(from https://legalfx.net/)
22:15:32	11573/11573	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:33%20GMT	https://legalfx.net/?a=rules	C:/My%20Web%20Sites/new%20web/legalfx.net/indexa972.html	(from https://legalfx.net/)
22:15:32	15485/15485	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:33%20GMT	https://legalfx.net/?a=faq	C:/My%20Web%20Sites/new%20web/legalfx.net/index38cd.html	(from https://legalfx.net/)
22:15:34	92128/92128	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/about.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/about.png	(from https://legalfx.net/)
22:15:34	8685/8685	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:34%20GMT	https://legalfx.net/?a=cust&page=rate-us	C:/My%20Web%20Sites/new%20web/legalfx.net/index0706.html	(from https://legalfx.net/)
22:15:34	13842/13842	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:34%20GMT	https://legalfx.net/?a=support	C:/My%20Web%20Sites/new%20web/legalfx.net/index15a0.html	(from https://legalfx.net/)
22:15:34	11349/11349	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:35%20GMT	https://legalfx.net/?a=login	C:/My%20Web%20Sites/new%20web/legalfx.net/indexc30b.html	(from https://legalfx.net/)
22:15:35	34418/34418	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/stat.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/stat.png	(from https://legalfx.net/)
22:15:35	3729/3729	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/pb.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/pb.png	(from https://legalfx.net/)
22:15:36	4667/4667	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/rrc.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/rrc.png	(from https://legalfx.net/)
22:15:36	5126/5126	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/em.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/em.png	(from https://legalfx.net/)
22:15:36	4686/4686	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/sdp.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/sdp.png	(from https://legalfx.net/)
22:15:37	4423/4423	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/gge.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/gge.png	(from https://legalfx.net/)
22:15:37	4939/4939	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/gcl.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/gcl.png	(from https://legalfx.net/)
22:15:38	4854/4854	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/sc.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/sc.png	(from https://legalfx.net/)
22:15:38	15848/15848	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2021:15:36%20GMT	https://legalfx.net/?a=signup	C:/My%20Web%20Sites/new%20web/legalfx.net/indexcca3.html	(from https://legalfx.net/)
22:15:46	3756/3756	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/lw.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/lw.png	(from https://legalfx.net/)
22:15:46	1736/1736	---M--	200	added ('OK')	image/gif	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/1000.gif	C:/My%20Web%20Sites/new%20web/legalfx.net/images/1000.gif	(from https://legalfx.net/)
22:15:47	308/308	---M--	200	added ('OK')	image/gif	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/1001.gif	C:/My%20Web%20Sites/new%20web/legalfx.net/images/1001.gif	(from https://legalfx.net/)
22:15:47	17954/17954	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/referman.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/referman.png	(from https://legalfx.net/)
22:15:48	19355/19355	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ac4229-4b9b%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/new%20web/www.smartsuppchat.com/loaderd41d.js	(from https://legalfx.net/)
22:15:49	29551/29551	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/certi.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/certi.png	(from https://legalfx.net/)
22:15:50	10379/10379	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/payment.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/payment.png	(from https://legalfx.net/)
22:15:56	158955/158955	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/otherbg.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/otherbg.png	(from https://legalfx.net/css/style-new.css)
22:15:56	485153/485153	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/slider.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/slider.png	(from https://legalfx.net/css/style-new.css)
22:15:56	11376/11376	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/statel.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/statel.png	(from https://legalfx.net/css/style-new.css)
22:15:58	10636/10636	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/stater.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/stater.png	(from https://legalfx.net/css/style-new.css)
22:15:59	93930/93930	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/aboutbg.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/aboutbg.png	(from https://legalfx.net/css/style-new.css)
22:16:00	3783/3783	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/border.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/border.png	(from https://legalfx.net/css/style-new.css)
22:16:01	8061/8061	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/plana.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/plana.png	(from https://legalfx.net/css/style-new.css)
22:16:02	7782/7782	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/planb.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/planb.png	(from https://legalfx.net/css/style-new.css)
22:16:03	3459/3459	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/planbl.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/planbl.png	(from https://legalfx.net/css/style-new.css)
22:16:03	8015/8015	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/planc.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/planc.png	(from https://legalfx.net/css/style-new.css)
22:16:04	640469/640469	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/planbg.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/planbg.png	(from https://legalfx.net/css/style-new.css)
22:16:04	8399/8399	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/level.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/level.png	(from https://legalfx.net/css/style-new.css)
22:16:07	446260/446260	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/investw.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/investw.png	(from https://legalfx.net/css/style-new.css)
22:16:07	86226/86226	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/footer.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/footer.png	(from https://legalfx.net/css/style-new.css)
22:16:07	97581/97581	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/otherc.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/otherc.png	(from https://legalfx.net/css/style-new.css)
22:16:08	8162/8162	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/dplana.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/dplana.png	(from https://legalfx.net/css/style-new.css)
22:16:08	105361/105361	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/dashboard.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/dashboard.png	(from https://legalfx.net/css/style-new.css)
22:16:08	7878/7878	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/dplanb.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/dplanb.png	(from https://legalfx.net/css/style-new.css)
22:16:09	8197/8197	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/dplanc.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/dplanc.png	(from https://legalfx.net/css/style-new.css)
22:16:09	220977/220977	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/newsfeature.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/newsfeature.png	(from https://legalfx.net/css/style-new.css)
22:16:10	74483/74483	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/images/aboutb.png	C:/My%20Web%20Sites/new%20web/legalfx.net/images/aboutb.png	(from https://legalfx.net/css/style-new.css)
22:16:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	C:/My%20Web%20Sites/new%20web/legalfx.net/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.eot	(from https://legalfx.net/font-awesome-4.7.0/css/font-awesome.css)
22:16:12	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sat,%2008%20Oct%202022%2000:34:59%20GMT	https://legalfx.net/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	C:/My%20Web%20Sites/new%20web/legalfx.net/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e3e6e.woff2	(from https://legalfx.net/font-awesome-4.7.0/css/font-awesome.css)
